accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lp__
0.203345,0.103881,5,31,0,222.169,-179.519
0.991647,0.112914,5,31,0,211.817,-174.737
0.999636,0.12359,5,31,0,207.67,-172.573
0.992031,0.134337,5,31,0,212.294,-175.869
0.998256,0.146806,5,31,0,204.866,-160.943
0.990322,0.159276,5,31,0,188.347,-161.188
0.988114,0.172439,5,31,0,197.992,-167.621
0.903221,0.173114,5,31,0,208.826,-164.794
0.980056,0.186041,5,31,0,196.792,-170.746
0.982534,0.200345,5,31,0,209.231,-170.87
0.782101,0.180658,5,31,0,219.21,-170.87
0.964625,0.19147,5,31,0,205.958,-169.605
0.982342,0.206105,5,31,0,206.517,-172.173
0.991635,0.223653,4,15,0,212.126,-173.898
0.999076,0.244253,4,15,0,204.4,-163.117
0.989924,0.264564,4,15,0,194.903,-165.997
0.983519,0.28491,4,15,0,190.771,-166.389
0.982508,0.306504,4,15,0,195.729,-160.122
0.7585,0.270821,4,15,0,198.573,-166.436
0.59556,0.207472,4,15,0,199.528,-167.932
0.98706,0.224109,4,15,0,201.875,-171.623
0.93242,0.230739,4,15,0,205.302,-165.181
1,0.252016,4,15,0,194.779,-163.962
0.978136,0.270001,4,15,0,188.823,-158.271
0.66836,0.220696,4,15,0,198.399,-172.169
0.966586,0.234074,4,15,0,210.757,-165.673
0.964063,0.24769,4,15,0,199.094,-166.504
1,0.270399,4,15,0,186.534,-161.166
0.85239,0.259581,4,15,0,198.719,-166.856
0.960089,0.273664,4,15,0,204.061,-167.886
0.956809,0.28766,4,15,0,205.921,-172.81
0.502393,0.203868,4,15,0,209.99,-173.54
0.869339,0.19869,4,15,0,217.302,-173.448
1,0.216843,4,15,0,206.203,-168.792
0.982312,0.233023,5,31,0,200.108,-166.781
0.944764,0.242385,4,15,0,200.407,-170.444
0.998788,0.264139,4,15,0,204.016,-165.911
0.953915,0.276875,4,15,0,196.225,-165.045
0.162524,0.146744,4,15,0,201.462,-165.167
0.99766,0.159795,5,31,0,195.028,-166.806
0.870389,0.155941,5,31,0,199.261,-163.516
0.996281,0.200602,5,31,0,191.422,-166.348
0.986547,0.200602,6,63,0,194.461,-165.103
0.977735,0.200602,5,31,0,192.169,-163.302
0.92722,0.200602,4,15,0,203.744,-171.555
0.991536,0.200602,4,15,0,207.885,-166.86
1,0.200602,4,15,0,194.346,-163.19
0.853284,0.200602,4,15,0,207.823,-172.963
0.988144,0.200602,5,31,0,210.584,-174.134
0.927697,0.200602,6,63,0,209.221,-176.767
1,0.200602,4,15,0,208.065,-170.328
0.963106,0.200602,5,31,0,204.563,-172.179
1,0.200602,4,15,0,202.991,-162.05
0.985317,0.200602,5,31,0,192.394,-166.018
0.931996,0.200602,4,15,0,207.952,-174.69
1,0.200602,4,15,0,207.793,-171.683
0.91424,0.200602,4,15,0,205.695,-175.446
0.977869,0.200602,4,15,0,221.033,-182.821
0.995204,0.200602,4,15,0,213.275,-179.628
1,0.200602,4,15,0,210.446,-166.971
0.977878,0.200602,5,31,0,202.038,-170.031
0.97869,0.200602,5,31,0,196.255,-165.938
0.941827,0.200602,4,15,0,192.797,-160.841
1,0.200602,4,15,0,186.291,-158.585
0.983514,0.200602,4,15,0,183.19,-161.164
0.894242,0.200602,4,15,0,193.435,-168.95
0.957819,0.200602,5,31,0,201.244,-166.367
0.986897,0.200602,5,31,0,194.763,-165.532
1,0.200602,4,15,0,190.771,-163.194
0.889551,0.200602,4,15,0,199.824,-173.383
0.99969,0.200602,5,31,0,211.254,-174.268
0.701704,0.200602,5,31,0,213.714,-174.268
0.982013,0.200602,5,31,0,202.26,-176.77
0.989681,0.200602,5,31,0,213.838,-174.908
0.999565,0.200602,4,15,0,207.193,-161.797
0.788518,0.200602,4,15,0,218.761,-187.025
0.994831,0.200602,4,15,0,225.326,-185.399
0.996063,0.200602,5,31,0,217.013,-177.497
0.9962,0.200602,5,31,0,207.911,-168.463
1,0.200602,4,15,0,193.18,-161.889
1,0.200602,4,15,0,186.407,-156.203
0.924311,0.200602,5,31,0,182.356,-157.456
0.962256,0.200602,5,31,0,187.862,-157.014
0.938382,0.200602,5,31,0,192.703,-167.53
0.504373,0.200602,5,31,0,203.969,-167.53
0.740991,0.200602,4,15,0,202.538,-169.544
0.995275,0.200602,5,31,0,194.34,-166.302
0.987231,0.200602,5,31,0,192.858,-164.088
0.935943,0.200602,4,15,0,202.231,-174.567
0.980636,0.200602,4,15,0,200.721,-165.017
1,0.200602,4,15,0,188.379,-164.4
0.957027,0.200602,5,31,0,192.837,-163.269
0.867541,0.200602,5,31,0,197.174,-169.715
0.923443,0.200602,5,31,0,195.612,-163.352
0.924949,0.200602,4,15,0,192.05,-156.113
0.928515,0.200602,4,15,0,182.753,-157.333
0.927095,0.200602,4,15,0,193.172,-165.472
0.969298,0.200602,5,31,0,205.397,-165.626
